"IDnro";"nro";"nimike";"Malli";"rekno";"Vuosimalli";"ryhmä";"mkperkm";"mkpervuosi";"muutospvm";"OletusAjokm";"poistettu";"Alkukm";"Loppukm";"ve_KiintyhtPV";"A_AlustanNro";"A_Katsastettu Pvm";"A_Seuraava Katsastus Pvm";"A_Huollettu Pvm";"A_Mittarilukema";"A_Huoltoväli Km";"A_Omistaja";"A_Osoite"
0;0;"Ei nuppia";"ei ole auto";"0000";;;0,00 €;0,00 €;;48119,00;;4204,00;197028,0;0,00;;;;;;;;
1;1;"VOLVO F16";" ";"VEKS";"-96";;0,00 €;0,00 €;;70272,00;"1";19523,00;1,043157e+06;0,00;;;;;;;;
2;2;"VOLVO FH 12";" ";"GCN-304";"-98";;0,00 €;0,00 €;22.6.2004 0:00:00;13579,00;;733054,0;1,181031e+06;0,00;;;;;;;;
3;5;"MB 2548";"L 6X2 450+135";"BZH-494";" -01";;0,00 €;0,00 €;;40587,00;;806424,0;847016,0;0,00;;;;;;;;
4;6;"Volvo FH12";"FH62RB-L - 6X2";"OGM-128";"-95";;0,00 €;0,00 €;;7955,00;;1,02006e+06;1,029327e+06;0,00;;;;;;;;
6;8;"Volvo FH12";"FH62RB-L-6X2";"IGZ-840";"-97";;0,00 €;0,00 €;;72503,00;;124372,0;1,146823e+06;0,00;;;;;;;;
8;10;"Volvo FL7";"6X2/4400+1350";"RGN-314";"-96";;0,00 €;0,00 €;;24,00;"1";741525,0;741549,0;0,00;;;;;;;;
9;11;"Volvo FL7";"48-60-4X2/480";"IGZ-539";"-87";;0,00 €;0,00 €;;2551,00;"1";740536,0;743359,0;0,00;;;;;;;;
10;12;"Volvo FL10";;"ZNG-394";"-87";;0,00 €;0,00 €;;36,00;;1,038412e+06;1,038448e+06;0,00;;;;;;;;
11;13;"MB 2543";"L-95020-6X2/450+135";"EXR-856";"-97";;0,00 €;0,00 €;;200587,0;"1";355,00;863814,0;0,00;;;;;;;;
12;14;"RELLU";"MAGNUM";"OTG-878";"-04";;0,00 €;0,00 €;;24541,00;;629739,0;1,644616e+06;0,00;;;;;;;;
13;15;"Volvo FH12";"FH62RB-L-6X2/460+138";"SIO-634";"-99";;0,00 €;0,00 €;;92809,00;;694526,0;794070,0;0,00;;;;;;;;
14;16;"Volvo FH12";"FH62RB-L-6X2/560+138";"GCN-323";"-98";"TPV";0,00 €;24000,00 €;26.10.2005 0:00:00;500,00;;1,042616e+06;1,043116e+06;0,00;;;;;;;;
15;17;"MB 2548";"L-6X2/450+135";"BZH-527";" -01";;0,00 €;0,00 €;;49883,00;;129161,0;1,162078e+06;0,00;;;;;;;;
16;18;"Volvo FH12";"FH62RB-L-6X2";"KGL-285";"-95";;0,00 €;0,00 €;;887606,0;;14,00;1,029704e+06;0,00;;;;;;;;
17;19;"Volvo FH12";"FH62RB-L-6X2/460+138";"SIO-582";"-99";;0,00 €;0,00 €;;95240,00;;731416,0;833973,0;0,00;;;;;;;;
18;20;"MB 814";;"IFB-543";"-90";;0,00 €;0,00 €;;10245,00;"1";616775,0;627935,0;0,00;;;;;;;;
19;21;"Volvo FM12";"FM62RB-L-6X2";"VIJ-357";"-99";;0,00 €;0,00 €;;0,00;"1";;;0,00;;;;;;;;
20;22;"Volvo FH12";;"ZNI-515";"-05";;0,00 €;0,00 €;;53691,00;;919428,0;976190,0;0,00;;;;;;;;
21;23;"Volvo FH12";"FH42TB-L/380";"NBG-596";"-97";;0,00 €;0,00 €;;18477,00;"1";109223,0;218415,0;0,00;;;;;;;;
22;24;"Volvo FH12";"FH42TB-L/380";"IGZ-906";"-97";;0,00 €;0,00 €;;2554,00;"1";7858,00;10510,00;0,00;;;;;;;;
23;25;"Volvo F10";;"SIO-638";"-87";;0,00 €;0,00 €;;38219,00;"1";332971,0;711950,0;0,00;;;;;;;;
24;26;"Scania";;"CYT-520";"-05";;0,00 €;0,00 €;;42592,00;;8190,00;878768,0;0,00;;;;;;;;
25;27;"MB 1838";"LS/380";"RGN-298";"-96";;0,00 €;0,00 €;;14363,00;"1";692633,0;792711,0;0,00;;;;;;;;
26;28;"Volvo FH12";"FH62TB-P-6X2/254+136";"VIJ-310";"-99";"MAKSETTU 5/2004";0,00 €;0,00 €;;3916,00;"1";581620,0;586277,0;0,00;;;;;;;;
27;29;"FH 12";"FH62TB-P-6X2/254+136";"VIJ-318";"-07";;0,00 €;0,00 €;;11038,00;"1";1031,00;826083,0;0,00;;;;;;;;
28;30;"Volvo F12";;"UIM-494";"-86";;0,00 €;0,00 €;;6648,00;"1";226003,0;915891,0;0,00;;;;;;;;
29;31;"MB 1840";"LS-95403/360";"IGZ-602";"-97";;0,00 €;0,00 €;;31926,00;"1";527679,0;712729,0;0,00;;;;;;;;
30;32;"Volvo F10";;"JEI-691";"-87";;0,00 €;0,00 €;;1433,00;"1";266159,0;269422,0;0,00;;;;;;;;
31;34;"Volvo FH12";"FH42TB/380";"GCN-240";"-98";;0,00 €;0,00 €;;4658,00;"1";922767,0;931272,0;0,00;;;;;;;;
32;35;"FH 12";"FH62TB-P-6X2/254+136";"VIJ-166";"-98";;0,00 €;0,00 €;;68708,00;"1";1083,00;793582,0;0,00;;;;;;;;
33;36;"Volvo F12";"37-43-6X2";"EYK-564";"-81";;0,00 €;0,00 €;;0,00;;;;0,00;;;;;;;;
34;37;"MB 1840";"LS-95403/360";"CCL-758";"-97";;0,00 €;0,00 €;;35826,00;"1";371678,0;738374,0;0,00;;;;;;;;
35;201;"MB 412D";"412D-KA-904463-KASTEN/403";"IGZ-666";"-97";;0,00 €;0,00 €;;216,00;"1";558975,0;559195,0;0,00;;;;;;;;
36;202;"MB 412D";"412D-KA-904463-KASTEN/403";"NCB-846";"-98";;0,00 €;0,00 €;;6226,00;"1";512999,0;521248,0;0,00;;;;;;;;
37;203;"SETRA";"S211 HD";"CBT-661";"-85";;0,00 €;0,00 €;;7901,00;"1";88800,00;97451,00;0,00;;;;;;;;
38;38;"RELLU";;"MGZ-896";;;0,00 €;0,00 €;;18119,00;"1";564297,0;961167,0;0,00;;;;;;;;
39;39;"RELLU";;"CCO-886";;;0,00 €;0,00 €;;17127,00;"1";393845,0;604469,0;0,00;;;;;;;;
40;40;"RELLU";;"XIR-426";;;0,00 €;0,00 €;;9747,00;"1";411802,0;422395,0;0,00;;;;;;;;
41;4;"VOLVO FH 12";;"BZM-277";"-02";;0,00 €;0,00 €;;23483,00;;6346,00;1,104056e+06;0,00;;;;;;;;
50;23;"Volvo FH112";;"CZB-817";;;0,00 €;0,00 €;;24761,00;;582140,0;705196,0;0,00;;;;;;;;
57;557;"VALMET 12t";"VALMET TRUKKI";"TD1206";"n-82 ";;0,20 €;0,00 €;;58,00;;372055,0;372113,0;0,00;;;;;;;;
65;65;"KULJETTAJAPALV.";"KULJ.PALV.";"KULJ.";;;0,20 €;0,00 €;;168,00;;0,00;41,00;0,00;;;;;;;;
